subject_id,session_id,peak_emotion,ckplus_labelled,count
S135,1,surprise,1,39
S078,1,surprise,1,33
S022,1,surprise,1,30
S014,1,surprise,1,29
S034,1,surprise,1,29
S077,1,surprise,1,28
S044,1,surprise,1,24
S053,1,surprise,1,23
S032,1,surprise,1,22
S065,3,surprise,1,22
S066,2,surprise,1,22
S097,1,surprise,1,21
S037,1,surprise,1,20
S058,1,surprise,1,20
S042,1,surprise,1,19
S051,2,surprise,1,19
S057,1,surprise,1,19
S081,1,surprise,1,19
S086,1,surprise,1,19
S101,2,surprise,1,19
S136,1,surprise,1,19
S050,2,surprise,1,18
S059,1,surprise,1,18
S060,3,surprise,1,18
S080,1,surprise,1,18
S102,2,surprise,1,18
S114,1,surprise,1,18
S130,1,surprise,1,18
S076,1,surprise,1,17
S088,1,surprise,1,17
S092,1,surprise,1,17
S127,1,surprise,1,17
S011,1,surprise,1,16
S062,2,surprise,1,16
S070,2,surprise,1,16
S074,2,surprise,1,16
S089,1,surprise,1,16
S095,1,surprise,1,16
S131,1,surprise,1,16
S026,1,surprise,1,15
S035,1,surprise,1,15
S052,1,surprise,1,15
S082,1,surprise,1,15
S100,2,surprise,1,15
S010,2,surprise,1,14
S067,2,surprise,1,14
S068,3,surprise,1,14
S069,2,surprise,1,14
S075,2,surprise,1,14
S099,1,surprise,1,14
S111,1,surprise,1,14
S116,1,surprise,1,14
S117,1,surprise,1,14
S124,1,surprise,1,14
S137,1,surprise,1,14
S063,1,surprise,1,13
S071,1,surprise,1,13
S073,1,surprise,1,13
S085,3,surprise,1,13
S110,1,surprise,1,13
S138,4,surprise,1,13
S055,1,surprise,1,12
S061,1,surprise,1,12
S064,1,surprise,1,12
S079,1,surprise,1,12
S113,1,surprise,1,12
S122,1,surprise,1,12
S126,4,surprise,1,12
S087,1,surprise,1,11
S090,2,surprise,1,11
S119,1,surprise,1,11
S129,2,surprise,1,11
S056,3,surprise,1,10
S084,1,surprise,1,10
S094,1,surprise,1,10
S107,1,surprise,1,10
S132,8,surprise,1,10
S125,7,surprise,1,9
S115,1,surprise,1,8
S054,3,surprise,1,7
S096,1,surprise,1,7
S046,2,surprise,1,6
S133,9,surprise,1,6
S045,1,surprise,0,30
S103,3,surprise,0,24
S112,1,surprise,0,22
S105,6,surprise,0,21
S083,1,surprise,0,18
S106,1,surprise,0,18
S121,2,surprise,0,17
S104,3,surprise,0,12
S072,4,surprise,0,8
